"month","remit_npr_bn","fx_reserve_usd_bn","labor_permits_new"
2017-08-01,60.72,11.14,54379
2017-09-01,63.89,10.63,44205
2017-10-01,66.01,10.88,53292
2017-11-01,59.33,12.01,54664
2017-12-01,61.5,11.11,50384
2018-01-01,50.33,11.07,50290
2018-02-01,54.81,11.72,53614
2018-03-01,55.05,11.35,46461
2018-04-01,56.85,12.22,53014
2018-05-01,56.36,11.57,52679
2018-06-01,53.16,12.17,54186
2018-07-01,59.23,11.67,52809
2018-08-01,63.26,11.28,53036
2018-09-01,66.27,12,51952
2018-10-01,68.18,11.08,55730
2018-11-01,70.5,11.78,50513
2018-12-01,66.41,10.98,57542
2019-01-01,62.31,12.28,50082
2019-02-01,63.46,12.71,55560
2019-03-01,65.32,12.08,55090
2019-04-01,70.5,12.31,64949
2019-05-01,70.96,12.21,55253
2019-06-01,64.34,12.82,50296
2019-07-01,67.71,11.66,53217
2019-08-01,70.07,11.34,52944
2019-09-01,78.31,12.54,59552
2019-10-01,79.18,12.77,51077
2019-11-01,84.07,11.94,54335
2019-12-01,85.07,12.54,60922
2020-01-01,76.59,12.56,55528
2020-02-01,83.59,12.16,58455
2020-03-01,43.68,12.57,34378
2020-04-01,51.75,12.37,32929
2020-05-01,57.11,12.63,35094
2020-06-01,63.84,12.81,32278
2020-07-01,70.61,12.58,37983
2020-08-01,72.68,12.99,40836
2020-09-01,84.32,13.18,29393
2020-10-01,93.09,13.16,41215
2020-11-01,88.36,13.1,28348
2020-12-01,85.78,13.58,36730
2021-01-01,92.84,12.5,68786
2021-02-01,94.45,13.28,59501
2021-03-01,98.57,13.78,59686
2021-04-01,94.81,13.2,65368
2021-05-01,100.49,13.08,56312
2021-06-01,104.4,13.22,59227
2021-07-01,112.55,12.96,60832
2021-08-01,109.93,12.79,63047
2021-09-01,109.25,12.99,55496
2021-10-01,109.82,14.18,61032
2021-11-01,107.74,14.12,65909
2021-12-01,109.26,13.63,63640
2022-01-01,109.75,12.61,61941
2022-02-01,110.06,13.13,64229
2022-03-01,108.6,12.95,59929
2022-04-01,112.29,12.89,63388
2022-05-01,119.69,13.8,59202
2022-06-01,112.43,13.36,70530
2022-07-01,117.77,12.95,66050
2022-08-01,119.35,14.03,65807
2022-09-01,123.87,14.18,57116
2022-10-01,120.81,13.67,60648
2022-11-01,116.41,14.82,65910
2022-12-01,123.86,14.08,64271
2023-01-01,121.94,14.01,69300
2023-02-01,126.62,14.13,70657
2023-03-01,117.37,14.12,62296
2023-04-01,124.15,14.3,66217
2023-05-01,124,13.62,74618
2023-06-01,137.2,14.41,70230
2023-07-01,116.76,14.47,71677
2023-08-01,124.77,15.18,64754
2023-09-01,128.21,14.13,72225
2023-10-01,124.17,14.75,61811
2023-11-01,124.24,14.61,67528
2023-12-01,122.5,14.53,66598
2024-01-01,124.03,14.89,75002
2024-02-01,124.52,15.41,68114
2024-03-01,119.93,14.27,68213
2024-04-01,123.84,15.15,67097
2024-05-01,129.3,14.73,70650
2024-06-01,133.85,14.41,72542
2024-07-01,127.47,14.82,64492
2024-08-01,129.87,14.77,70512
2024-09-01,130.34,14.76,77327
2024-10-01,133.97,15.32,69722
2024-11-01,136.38,15.46,68267
2024-12-01,133.67,15.15,74405
2025-01-01,135.04,15.56,74667
2025-02-01,139.71,16.04,66815
2025-03-01,136.97,15.51,79654
2025-04-01,134.87,15.57,73767
2025-05-01,138.36,15.57,80110
2025-06-01,139.7,15.44,69225
2025-07-01,149.92,15.58,74216
2025-08-01,157.87,15.4,73106
2025-09-01,160.72,15.08,82017
2025-10-01,164.77,15.18,71391
2025-11-01,165.7,15,77914
2025-12-01,168.21,15.41,70582
2026-01-01,179.61,15.93,76481
2026-02-01,181.45,15.79,80252
2026-03-01,185.06,15.9,84228
2026-04-01,186.93,15.89,72935
2026-05-01,190.07,15.44,75189
