"quarter","quarter_date","receiving_country","sending_country","amount_usd","total_cost_pct","mto_cost_pct","bank_cost_pct","fee_pct","fx_margin_pct","total_cost_pct_500","num_services","pct_digital"
"2012Q1",2012-01-01,"Philippines","Italy",200,7.213,6.435,7.99,5.133,2.08,4.162,16,0
"2012Q1",2012-01-01,"Philippines","Japan",200,13.332,11.119,15.102,12.292,1.04,6.192,27,0
"2012Q1",2012-01-01,"Philippines","Malaysia",200,3.356,2.342,4.978,2.459,0.897,1.878,13,0
"2012Q1",2012-01-01,"Philippines","Qatar",200,5.27,5.19,5.363,2.152,3.118,4.029,11,0
"2012Q1",2012-01-01,"Philippines","Saudi Arabia",200,4.332,4.424,3.87,3.422,0.91,2.282,6,0
"2012Q1",2012-01-01,"Philippines","Singapore",200,3.336,3.367,3.05,2.371,0.965,2,31,0
"2012Q1",2012-01-01,"Philippines","Spain",200,6.464,6.464,NA,4.601,1.863,3.731,7,0
"2012Q1",2012-01-01,"Philippines","United Arab Emirates",200,3.641,3.641,NA,2.629,1.011,2.065,15,0
"2012Q1",2012-01-01,"Philippines","United Kingdom",200,6.471,6.429,7.02,5.722,0.749,3.228,28,0
"2012Q1",2012-01-01,"Philippines","United States",200,5.79,6.316,4.13,4.198,1.593,4.03,30,0
"2012Q3",2012-07-01,"Bangladesh","Malaysia",200,4.574,2.8,5.757,2.652,1.922,3.064,10,0
"2012Q3",2012-07-01,"Bangladesh","Saudi Arabia",200,4.733,4.978,4.12,2.571,2.161,3.193,7,0
"2012Q3",2012-07-01,"Bangladesh","Singapore",200,1.839,1.925,1.58,1.924,-0.085,0.694,8,0
"2012Q3",2012-07-01,"Bangladesh","United Kingdom",200,5.266,5.319,5.095,4.184,1.083,3.219,17,0
"2012Q3",2012-07-01,"India","Australia",200,9.683,6.318,14.513,7.295,2.388,5.409,22,0
"2012Q3",2012-07-01,"India","Canada",200,10.855,10.75,10.974,9.383,1.472,5.252,15,0
"2012Q3",2012-07-01,"India","France",200,9.752,6.79,13.995,7.722,2.03,6.031,8,0
"2012Q3",2012-07-01,"India","Germany",200,11.105,7.898,12.48,8.012,3.093,6.417,6,0
"2012Q3",2012-07-01,"India","Italy",200,5.241,5.468,3.75,3.795,1.446,3.567,8,0
"2012Q3",2012-07-01,"India","Japan",200,15.699,9.337,20.153,13.862,1.837,7.808,17,0
"2012Q3",2012-07-01,"India","New Zealand",200,8.704,7.479,9.807,6.62,2.084,4.817,19,0
"2012Q3",2012-07-01,"India","Qatar",200,5.009,4.05,6.544,3.078,1.931,3.165,13,0
"2012Q3",2012-07-01,"India","Saudi Arabia",200,4.404,4.8,3.415,2.821,1.583,2.713,7,0
"2012Q3",2012-07-01,"India","Singapore",200,4.16,3.68,4.52,2.423,1.737,3.157,7,0
"2012Q3",2012-07-01,"India","United Arab Emirates",200,4.902,3.197,13.423,3.589,1.312,2.752,18,0
"2012Q3",2012-07-01,"India","United Kingdom",200,5.33,5.835,4.574,3.743,1.587,3.266,20,0
"2012Q3",2012-07-01,"India","United States",200,4.353,4.607,3.64,2.908,1.445,2.839,19,0
"2012Q3",2012-07-01,"Nepal","Saudi Arabia",200,4.323,4.34,4.24,2.692,1.632,2.712,6,0
"2012Q3",2012-07-01,"Nepal","United Arab Emirates",200,5.634,5.149,9.755,3.652,1.982,3.444,19,0
"2012Q3",2012-07-01,"Nepal","United Kingdom",200,5.52,6.35,1.37,3.665,1.855,3.251,12,0
"2012Q3",2012-07-01,"Philippines","Australia",200,9.421,6.58,18.652,7.147,2.274,5.133,34,0
"2012Q3",2012-07-01,"Philippines","Canada",200,6.834,6.659,7.358,6.265,0.569,3.134,24,4.2
"2012Q3",2012-07-01,"Philippines","Italy",200,6.691,6.291,7.091,5.581,1.11,3.375,16,0
"2012Q3",2012-07-01,"Philippines","Japan",200,13.507,10.521,15.746,12.477,1.03,6.233,21,0
"2012Q3",2012-07-01,"Philippines","Malaysia",200,4.01,3.263,5.206,2.458,1.552,2.532,13,0
"2012Q3",2012-07-01,"Philippines","New Zealand",200,7.231,5.423,11.752,5.68,1.551,3.859,28,0
"2012Q3",2012-07-01,"Philippines","Qatar",200,5.699,4.819,7.293,2.153,3.546,4.459,11,0
"2012Q3",2012-07-01,"Philippines","Saudi Arabia",200,5.337,5.804,3,3.108,2.228,3.477,6,0
"2012Q3",2012-07-01,"Philippines","Singapore",200,2.711,2.748,2.31,2.254,0.457,1.424,36,0
"2012Q3",2012-07-01,"Philippines","Spain",200,6.218,6.218,NA,4.157,2.062,4.135,6,0
"2012Q3",2012-07-01,"Philippines","United Arab Emirates",200,3.234,3.234,NA,2.54,0.694,1.71,15,0
"2012Q3",2012-07-01,"Philippines","United Kingdom",200,6.04,6.009,6.48,5.531,0.509,2.932,30,0
"2012Q3",2012-07-01,"Philippines","United States",200,6.271,6.626,5.559,5.333,0.937,3.378,39,0
"2013Q1",2013-01-01,"Bangladesh","Malaysia",200,6.039,1.48,8.644,3.278,2.761,4.164,11,0
"2013Q1",2013-01-01,"Bangladesh","Saudi Arabia",200,2.711,2.808,2.47,2.647,0.064,1.123,7,0
"2013Q1",2013-01-01,"Bangladesh","Singapore",200,1.522,1.617,1.01,1.924,-0.401,0.375,8,0
"2013Q1",2013-01-01,"Bangladesh","United Kingdom",200,4.841,5.057,3.977,4.182,0.659,2.379,15,0
"2013Q1",2013-01-01,"India","Australia",200,9.807,6.153,14.31,7.544,2.263,5.338,21,0
"2013Q1",2013-01-01,"India","Canada",200,11.231,10.98,11.517,9.199,2.031,5.711,15,0
"2013Q1",2013-01-01,"India","France",200,10.366,7.59,14.145,7.367,2.999,6.859,8,0
"2013Q1",2013-01-01,"India","Germany",200,8.771,6.615,12.64,6.179,2.592,5.464,8,0
"2013Q1",2013-01-01,"India","Italy",200,6.097,6.476,4.395,4.26,1.837,4.271,11,0
"2013Q1",2013-01-01,"India","Japan",200,19.474,14.083,21.785,17.777,1.697,8.94,30,0
"2013Q1",2013-01-01,"India","New Zealand",200,8.21,7.145,10.187,5.808,2.401,4.812,20,0
"2013Q1",2013-01-01,"India","Qatar",200,5.507,4.884,6.504,3.605,1.902,3.349,13,0
"2013Q1",2013-01-01,"India","Saudi Arabia",200,4.611,4.812,4.11,2.819,1.793,2.923,7,0
"2013Q1",2013-01-01,"India","Singapore",200,4.071,3.928,4.215,2.547,1.524,2.842,8,0
"2013Q1",2013-01-01,"India","United Arab Emirates",200,5.379,3.592,13.717,3.681,1.698,3.172,17,0
"2013Q1",2013-01-01,"India","United Kingdom",200,5.249,5.595,4.685,3.873,1.376,3.029,21,0
"2013Q1",2013-01-01,"India","United States",200,5.699,6.652,4.203,3.042,2.658,4.408,18,0
"2013Q1",2013-01-01,"Nepal","Saudi Arabia",200,3.895,3.906,3.84,2.8,1.095,2.22,6,0
"2013Q1",2013-01-01,"Nepal","United Arab Emirates",200,3.923,3.7,5.82,3.652,0.271,1.732,19,0
"2013Q1",2013-01-01,"Nepal","United Kingdom",200,6.601,7.055,3.655,4.203,2.399,4.123,15,0
"2013Q1",2013-01-01,"Philippines","Australia",200,10.598,7.713,20.692,6.514,4.084,6.717,36,0
"2013Q1",2013-01-01,"Philippines","Canada",200,7.674,7.608,7.912,6.152,1.522,4.017,23,0
"2013Q1",2013-01-01,"Philippines","Italy",200,6.568,6.873,6.072,5.629,0.94,3.449,21,0
"2013Q1",2013-01-01,"Philippines","Japan",200,13.361,9.91,15.087,12.07,1.291,6.424,30,0
"2013Q1",2013-01-01,"Philippines","Malaysia",200,4.286,3.321,5.573,2.636,1.651,2.796,14,0
"2013Q1",2013-01-01,"Philippines","New Zealand",200,7.464,6.114,12.188,5.356,2.108,4.246,27,0
"2013Q1",2013-01-01,"Philippines","Qatar",200,5.932,5.75,6.19,2.682,3.251,4.371,12,0
"2013Q1",2013-01-01,"Philippines","Saudi Arabia",200,4.097,4.176,3.7,2.982,1.115,2.312,6,0
"2013Q1",2013-01-01,"Philippines","Singapore",200,3.743,3.882,2.625,2.564,1.178,2.224,36,0
"2013Q1",2013-01-01,"Philippines","Spain",200,6.45,6.45,NA,4.37,2.08,4.196,5,0
"2013Q1",2013-01-01,"Philippines","United Arab Emirates",200,3.435,3.435,NA,2.793,0.642,1.759,15,0
"2013Q1",2013-01-01,"Philippines","United Kingdom",200,7.281,7.39,5.7,5.745,1.535,4.017,31,0
"2013Q1",2013-01-01,"Philippines","United States",200,5.939,5.926,5.789,4.57,1.369,3.253,39,0
"2013Q2",2013-04-01,"Bangladesh","Malaysia",200,6.755,2.9,8.468,3.734,3.021,4.589,13,0
"2013Q2",2013-04-01,"Bangladesh","Saudi Arabia",200,3.886,4.046,3.485,2.649,1.237,2.3,7,0
"2013Q2",2013-04-01,"Bangladesh","Singapore",200,1.95,2.138,1.48,1.92,0.03,0.807,7,0
"2013Q2",2013-04-01,"Bangladesh","United Kingdom",200,5.137,5.394,4.107,4.184,0.953,2.913,15,0
"2013Q2",2013-04-01,"India","Australia",200,8.989,6.439,13.388,6.955,2.034,4.866,28,0
"2013Q2",2013-04-01,"India","Canada",200,10.01,10.824,9.08,7.999,2.011,5.25,15,0
"2013Q2",2013-04-01,"India","France",200,10.245,7.544,13.985,7.364,2.881,6.883,8,0
"2013Q2",2013-04-01,"India","Germany",200,7.63,5.801,12.36,5.732,1.898,4.547,9,0
"2013Q2",2013-04-01,"India","Italy",200,5.517,6.008,3.31,4.26,1.257,3.692,11,0
"2013Q2",2013-04-01,"India","Japan",200,20.157,10.342,23.101,18.749,1.408,9.05,26,0
"2013Q2",2013-04-01,"India","New Zealand",200,7.588,6.455,9.711,5.383,2.205,4.42,23,0
"2013Q2",2013-04-01,"India","Qatar",200,6.05,5.355,7.162,3.603,2.447,3.891,13,0
"2013Q2",2013-04-01,"India","Saudi Arabia",200,5.263,5.688,4.2,2.82,2.443,3.573,7,0
"2013Q2",2013-04-01,"India","Singapore",200,4.48,4.71,4.308,2.639,1.841,3.084,7,0
"2013Q2",2013-04-01,"India","United Arab Emirates",200,4.759,2.469,15.45,4.082,0.678,2.314,17,0
"2013Q2",2013-04-01,"India","United Kingdom",200,5.054,5.852,3.758,3.628,1.427,3.047,21,0
"2013Q2",2013-04-01,"India","United States",200,3.922,4.323,3.057,3.044,0.878,2.236,17,0
"2013Q2",2013-04-01,"Nepal","Saudi Arabia",200,4.177,4.258,3.77,2.802,1.375,2.497,6,0
"2013Q2",2013-04-01,"Nepal","United Arab Emirates",200,4.006,3.741,6.26,3.651,0.355,1.817,19,0
"2013Q2",2013-04-01,"Nepal","United Kingdom",200,5.843,6.193,3.565,4.094,1.749,3.453,15,0
"2013Q2",2013-04-01,"Philippines","Australia",200,8.754,6.909,19.128,6.245,2.508,5.089,53,0
"2013Q2",2013-04-01,"Philippines","Canada",200,7.361,7.233,7.822,6.26,1.1,3.64,23,0
"2013Q2",2013-04-01,"Philippines","Italy",200,6.045,5.965,6.184,5.454,0.591,3.018,22,0
"2013Q2",2013-04-01,"Philippines","Japan",200,12.451,9.268,14.629,11.275,1.176,5.814,32,0
"2013Q2",2013-04-01,"Philippines","Malaysia",200,4.056,3.344,5.005,2.55,1.506,2.638,14,0
"2013Q2",2013-04-01,"Philippines","New Zealand",200,7.541,6.28,12.163,5.549,1.992,4.206,28,3.6
"2013Q2",2013-04-01,"Philippines","Qatar",200,6.041,5.834,6.34,2.682,3.359,4.479,12,8.3
"2013Q2",2013-04-01,"Philippines","Saudi Arabia",200,6.817,7.384,3.98,2.977,3.84,5.035,6,0
"2013Q2",2013-04-01,"Philippines","Singapore",200,3.455,3.56,2.635,2.528,0.927,1.966,35,0
"2013Q2",2013-04-01,"Philippines","Spain",200,6.312,6.312,NA,4.37,1.942,3.714,5,0
"2013Q2",2013-04-01,"Philippines","United Arab Emirates",200,3.723,3.723,NA,2.793,0.93,2.05,15,0
"2013Q2",2013-04-01,"Philippines","United Kingdom",200,7.189,7.186,7.22,6.07,1.119,3.678,33,3
"2013Q2",2013-04-01,"Philippines","United States",200,5.514,5.712,4.952,4.14,1.374,3.08,34,0
"2013Q3",2013-07-01,"Bangladesh","Malaysia",200,5.659,3.728,6.625,2.609,3.05,4.15,12,0
"2013Q3",2013-07-01,"Bangladesh","Saudi Arabia",200,4.376,4.656,3.675,2.647,1.729,2.791,7,0
"2013Q3",2013-07-01,"Bangladesh","Singapore",200,2.18,2.218,1.92,1.923,0.257,1.031,7,0
"2013Q3",2013-07-01,"Bangladesh","United Kingdom",200,5.351,5.697,3.967,4.627,0.725,2.759,15,0
"2013Q3",2013-07-01,"India","Australia",200,8.794,5.992,13.414,6.455,2.339,4.886,28,0
"2013Q3",2013-07-01,"India","Canada",200,10.469,11.579,9.2,8,2.469,5.709,15,0
"2013Q3",2013-07-01,"India","France",200,8.212,6.499,12.805,5.963,2.249,5.017,10,0
"2013Q3",2013-07-01,"India","Germany",200,8.003,6.074,12.98,5.699,2.304,4.939,9,0
"2013Q3",2013-07-01,"India","Italy",200,6.633,6.633,NA,4.651,1.982,4.732,9,0
"2013Q3",2013-07-01,"India","Japan",200,20.441,11.147,23.376,18.679,1.762,9.378,25,0
"2013Q3",2013-07-01,"India","New Zealand",200,7.477,6.393,9.645,5.323,2.155,4.302,24,0
"2013Q3",2013-07-01,"India","Qatar",200,6.332,5.771,7.228,3.604,2.728,4.175,13,0
"2013Q3",2013-07-01,"India","Saudi Arabia",200,4.524,4.882,3.63,2.644,1.88,2.94,7,0
"2013Q3",2013-07-01,"India","Singapore",200,5.007,5.01,5.005,2.639,2.369,3.72,7,0
"2013Q3",2013-07-01,"India","United Arab Emirates",200,4.995,2.831,15.09,4.085,0.909,2.546,17,0
"2013Q3",2013-07-01,"India","United Kingdom",200,5.573,6.748,3.664,3.653,1.92,3.397,21,0
"2013Q3",2013-07-01,"India","United States",200,4.764,4.914,4.94,2.644,2.12,3.304,19,0
"2013Q3",2013-07-01,"Nepal","Saudi Arabia",200,4.118,4.154,3.94,2.802,1.317,2.442,6,0
"2013Q3",2013-07-01,"Nepal","United Arab Emirates",200,4.256,4.001,6.425,3.655,0.601,2.066,19,0
"2013Q3",2013-07-01,"Nepal","United Kingdom",200,5.994,6.388,3.43,4.261,1.733,3.503,15,0
"2013Q3",2013-07-01,"Philippines","Australia",200,8.166,6.335,19.148,5.989,2.176,4.622,56,0
"2013Q3",2013-07-01,"Philippines","Canada",200,6.998,6.912,7.308,6.26,0.737,3.277,23,0
"2013Q3",2013-07-01,"Philippines","Italy",200,5.939,6.042,5.759,5.35,0.589,2.976,22,0
"2013Q3",2013-07-01,"Philippines","Japan",200,12.874,9.327,15.301,10.998,1.876,6.44,32,0
"2013Q3",2013-07-01,"Philippines","Malaysia",200,3.548,2.257,5.023,2.722,0.826,1.963,15,0
"2013Q3",2013-07-01,"Philippines","New Zealand",200,7.819,6.673,12.208,5.544,2.274,4.506,29,3.4
"2013Q3",2013-07-01,"Philippines","Qatar",200,6.324,6.323,6.327,2.592,3.732,4.772,12,16.7
"2013Q3",2013-07-01,"Philippines","Saudi Arabia",200,3.698,3.828,3.05,2.977,0.722,1.918,6,0
"2013Q3",2013-07-01,"Philippines","Singapore",200,4.364,4.438,3.805,2.485,1.879,2.905,34,0
"2013Q3",2013-07-01,"Philippines","Spain",200,13.008,13.008,NA,4.37,8.638,10.412,5,0
"2013Q3",2013-07-01,"Philippines","United Arab Emirates",200,3.203,3.203,NA,2.795,0.407,1.528,15,0
"2013Q3",2013-07-01,"Philippines","United Kingdom",200,6.781,6.768,6.91,6.068,0.713,3.27,33,3
"2013Q3",2013-07-01,"Philippines","United States",200,5.762,6.154,4.934,4.424,1.337,3.377,30,0
"2013Q4",2013-10-01,"Bangladesh","Malaysia",200,4.339,1.782,5.476,2.484,1.855,3.615,13,0
"2013Q4",2013-10-01,"Bangladesh","Saudi Arabia",200,3.806,3.954,3.435,2.65,1.156,2.22,7,0
"2013Q4",2013-10-01,"Bangladesh","Singapore",200,2.147,2.166,2.1,1.923,0.224,0.997,7,0
"2013Q4",2013-10-01,"Bangladesh","United Kingdom",200,5.576,5.855,4.46,4.628,0.948,2.951,15,0
"2013Q4",2013-10-01,"India","Australia",200,7.293,5.339,13.091,5.66,1.633,3.926,42,0
"2013Q4",2013-10-01,"India","Canada",200,9.095,10.055,7.997,8,1.095,4.335,15,0
"2013Q4",2013-10-01,"India","France",200,8.977,7.696,12.495,6.171,2.806,5.775,10,0
"2013Q4",2013-10-01,"India","Germany",200,7.616,5.74,12.13,5.733,1.882,4.561,9,0
"2013Q4",2013-10-01,"India","Italy",200,6.376,6.898,4.03,4.549,1.827,4.361,11,0
"2013Q4",2013-10-01,"India","Japan",200,19.513,10.388,22.734,18.382,1.131,8.615,23,0
"2013Q4",2013-10-01,"India","New Zealand",200,8.333,7.296,10.149,5.786,2.547,4.941,22,0
"2013Q4",2013-10-01,"India","Qatar",200,5.3,6.165,2.993,2.826,2.474,3.606,11,0
"2013Q4",2013-10-01,"India","Saudi Arabia",200,5.434,5.63,4.945,2.646,2.789,3.85,7,0
"2013Q4",2013-10-01,"India","Singapore",200,4.389,4.34,4.425,2.639,1.75,3.101,7,0
"2013Q4",2013-10-01,"India","United Arab Emirates",200,3.187,3.187,NA,2.04,1.147,1.967,14,0
"2013Q4",2013-10-01,"India","United Kingdom",200,4.9,6.775,1.419,2.994,1.906,3.166,20,0
"2013Q4",2013-10-01,"India","United States",200,3.682,3.829,4.063,2.396,1.285,2.302,17,0
"2013Q4",2013-10-01,"Nepal","Saudi Arabia",200,3.28,3.358,2.89,2.798,0.482,1.607,6,0
"2013Q4",2013-10-01,"Nepal","United Arab Emirates",200,4.682,4.416,6.81,3.287,1.395,2.711,18,0
"2013Q4",2013-10-01,"Nepal","United Kingdom",200,6.354,6.726,4.12,4.146,2.207,3.889,14,0
"2013Q4",2013-10-01,"Philippines","Australia",200,7.157,5.91,18.85,5.589,1.568,3.777,83,2.4
"2013Q4",2013-10-01,"Philippines","Canada",200,6.859,6.819,7.002,6.261,0.598,3.163,23,0
"2013Q4",2013-10-01,"Philippines","Italy",200,6.121,6.376,6.082,5.357,0.763,3.133,23,4.3
"2013Q4",2013-10-01,"Philippines","Japan",200,12.003,8.8,14.406,10.736,1.267,5.799,28,7.1
"2013Q4",2013-10-01,"Philippines","Malaysia",200,4.747,3.098,6.947,3.314,1.434,2.811,14,0
"2013Q4",2013-10-01,"Philippines","New Zealand",200,7.821,6.711,12.26,5.371,2.45,4.629,30,3.3
"2013Q4",2013-10-01,"Philippines","Qatar",200,5.994,5.932,6.18,2.612,3.382,4.429,12,16.7
"2013Q4",2013-10-01,"Philippines","Saudi Arabia",200,5.417,5.508,4.96,2.98,2.437,3.633,6,0
"2013Q4",2013-10-01,"Philippines","Singapore",200,3.691,3.8,2.875,2.479,1.211,2.234,34,0
"2013Q4",2013-10-01,"Philippines","Spain",200,5.366,5.366,NA,3.79,1.576,3.404,5,0
"2013Q4",2013-10-01,"Philippines","United Arab Emirates",200,3.386,3.386,NA,2.793,0.593,1.713,15,0
